Date,Time,Location,Operator,Flight,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,Lat,Lng,Country
3/10/1981,5:00,"Moroni, Comoro Islands",Military - French Naval Aviation,,Moroni-Saint-Denis de la R̩union,Dassault-Breguet Atlantique,29,29,18,14,4,18,14,4,0,"As the plane was taking off, one of the engines failed and after climbing to 500 ft., the aircraft plunged to earth and exploded in flames.",,,
3/15/1981,24:05:00,"Shemya AFB, Alaska",Military - U.S. Air Force,,Eielson AFB-Shemya AFB,Boeing RC-135S,61-2664,18340,24,NULL,NULL,6,NULL,NULL,0,Hit the ground short of the runway in snow and fog.,,,
3/26/1981,,"Redzikowo, Poland",LOT Polish Airlines,,Varsovie-Slupsk,Antonov AN-24B,SP-LTU,7306007,52,47,5,1,1,0,0,Separation of a propeller blade caused a forced landing resulting the the plane crashing and burining.,54.4710926,17.1160575, Poland
4/6/1981,,"Laguna Soliz, Bolivia",Urcupina,,,Douglas C-47A,CP-1470,19395,7,4,3,7,4,3,0,The cargo plane flew into the ground while trying to avoid bad weather.,-17.7338959,-63.1871116034233, Bolivia
4/7/1981,11:36,"Cincinnati, Ohio",Freedom International,,Cincinnati - Detroit,Learjet 23,N400PG,23-068,2,0,2,1,0,1,0,"While climbing through 3,800 ft., a Loon collided with the cargo plane penetrating the windshield. The copilot was killed and the captain sustained serious injuries. Debris from the windshield were ingested by the No.2 engine which had to be shut down. The pilot returned to the airport for a successful emergency landing.",39.1014537,-84.5124602, United States of America
4/17/1981,16:01,"Loveland, Colorado",Air US / Private,716 / -,"Denver, CO - Gillette, WY",Hadley Page 137Jetstream I / Cessna 206,N11360 / N4862F,238,19,15,4,15,12,3,0,"A midair collision occurred 2 nm east-southeast of Loveland, Colorado at 13,000 ft.. Two killed and 3 injured on the Cessna and 13 killed on the Jetstream. The failure of the Cessna pilot to establish communications with the Denver Center and his climbing into controlled airspace above 12,500 ft without an authorized transponder. Contributing factor was the fact that existing regulations did not prohibit parachute jumping in or immediately adjacent to federal airways.",40.385549,-105.04436132095, United States
4/28/1981,7:45,"Pekanbaru, Indonesia",Private - Airfast Indonesia,,Singapour-Pekanbaru,Douglas C-47A-5-DK,PK-OBK,12209,17,13,4,15,11,4,0,Crashed during final approach. Hudbay Oil Co. charter.,0.5262455,101.4515727, Indonesia
4/28/1981,12:31,"	Batagay, Russia",Aeroflot,,	Batagay - 	Lazo,Antonov An-2TP,	 CCCP-92864,1G53-16,12,10,2,12,10,2,0,Crashed into a mountainside. Icing.,67.654907,134.635071, Russia
5/6/1981,10:50,"Near Fredrick, Maryland",Military - U.S. Air Force,,Training,Boeing EC-135N,61-0328,18235,21,3,18,21,3,18,0,"While cruising at FL 210, the pitch trim moved to the full nose-down position. Gravational forces from the resulting dive led to the break-up of the aircraft.",39.343,-77.51, United States
5/7/1981,10:53,"Rio de la Plata, Argentina",Austral Lineas Aeras (Argentina),901,Tucuman - Buenos Aires,BAC One-Eleven 529FR,LV-LOX,212,31,26,5,31,26,5,0,The aircraft crashed into a river bed after two missed approaches and while in a holding pattern. Severe turbulence and thunderstorms where occurring in area. Loss of control of the aircraft and impact with the water by an error of the pilot in assessing the meteorological conditions on crossing through a zone of extremely violent cumulonimbus clouds. Windshear.,-28.6187988,-65.5080883, Argentina
5/16/1981,,"Near Menongue, Angola",TAAG Angola Airlines,,,Lockheed L-100-20 Hercules,D2-EAS,4830,4,0,4,4,0,4,0,Shot down by a surface-to-air missile.,-14.6610713,17.6820336, Angola
5/21/1981,," Pinarete Mountain, Mexico",Lineas Aereas,,Puerto Escondido-Oaxaca,Convair CV-440-11,XA-KEH,327,24,21,3,24,21,3,0,"Crashed into a mountain at 8,800 feet obscured by clouds.",28.3403618,-16.4375655, Spain
5/22/1981,15:00,"Near Zumba, Ecuador",TAME,,Quito-Macara,de Havilland Canada DHC-6 Twin Otter 300,HC-BAX,457,18,15,3,18,15,3,0,Crashed into a mountain in fog.,-4.8632629,-79.1307653, Ecuador
5/29/1981,,"Cairo, Egypt",Military - Egyptian Air Force,,,Lockheed C-130H Hercules,SU-BAH,4792,17,11,6,17,11,6,0,The aircraft hit the ground shortly after takeoff.,30.048819,31.243666, Egypt
6/14/1981,16:22,"Ust-Barguzin, Russia",Aeroflot,498,Ulan - Severomuysk,Ilyushin Il-14,CCCP-41838,147001141,48,44,4,48,44,4,0,The crew informed ATC they could see the field but crashed 30 km from the airport.,53.40831,109.032768, Russia
6/26/1981,18:11,"Nailstone, England",Dan Air Services,,London - East Midlands,Hawker Siddeley HS-748,G-ASPL,1560,3,0,3,3,0,3,0,"The the right rear door  of the cargo plane detached and struck the horizontal tail plane and became lodged on the leading edge. Control was lost, and the aircraft entered a steep dive. During the dive, the wings and tail plane failed due to overstressing.",52.6600671,-1.3863515, United Kingdom
7/18/1981,15:44,"Near Yerevan, Armenia",TAR,,"Tehran, Iran - Larnaca, Cyprus",Canadair CL-44D4-6,LV-JTN,34,4,1,3,4,1,3,0,The cargo plane was brought down after a Soviet fighter jet crashed into the tail of the Canadair. The plane had strayed into Soviet airspace.,40.1776121,44.5125849, Armenia
7/20/1981,,"Mogadishu, Somalia",Somali Airlines,,Mogadishu- Hargeisa,Fokker F-27 Friendship 600RF,6O-SAY,10557,50,44,6,50,44,6,0,Part of the right wing separated from the plane after the aircraft entered an area of heavy rain and severe turbulence and went into a spiral dive 8 minutes after takeoff.,2.042778,45.338564, Somalia
7/24/1981,,Madagascar,Air Madagascar,112,Toamasina-Andapa,de Havilland Canada DHC-6 Twin Otter 300,5R-MGB,327,19,17,2,19,17,2,0,Flew into a mountain. Controlled flight into terrain.,-18.9249604,46.4416422,Madagascar
7/25/1981,,"Caruru, Colombia",Transamazonica,,,Douglas C-53D-DO,HK- 772,11743,9,5,4,5,5,0,0,The aircraft crashed short of the runway while attempting to land after a severe vibration required the crew to shut down the engine and feather the propeller.,1.5524104,-70.2038516, Colombia
7/27/1981,,"Chihuahua, Mexico",Aeromexico,230,Monterey - Chihuahua,McDonnell Douglas DC-9-32,XA-DEN,47621/729,66,60,6,32,30,2,0,"While landing in adverse weather conditions, the aircraft landed right of the runway, bounced and struck the ground. The fuselage broke in two and caught fire. Thunderstorms and strong turbulence in the area associated with a tropical air mass.",28.5000001,-106.0000001, Mexico
8/22/1981,10:00,"Near Sanyi, Miao-li, Taiwan",Far Eastern Air Transport,103,Taipei - Kaohsiung,Boeing B-737-222,B-2603,19939/151,110,104,6,110,104,6,0,The aircraft experienced in-flight structural failure. Severe corrosion in belly of plane led to a pressure hull rupture and disintegration of the plane.,24.4130625,120.7704023, Taiwan
8/24/1981,9:21,"Near Zavitinsk, Russia",Aeroflot / Military - Russian Air Force,811,Komsomol'sk-na-Amure - Blagoveshchensk,Antonov AN-24RV / Soviet Air Force TU-16,CCCP-46653,47309204,32,27,5,31,26,5,0,"Midair collision with a Soviet Air Force TU-16. The only surviving passenger, a 20 year old woman was found in a forest 3 days later. Poor communication between civilian and military ATCs.",50.111154,129.4402341, Russia
8/27/1981,15:45,"Mt. Elena, Colombia",Aeropesca Colombia,,Florence - Neiva,Vickers Viscount 745D,HK-1320,112,50,44,6,50,44,6,0,Crashed in the jungle on a mountain peak. Flying VFR in meteorological conditions below minima.,4.326122,-75.2116105, Colombia
8/29/1981,20:30,"Zeya, Russia",Aeroflot,674,Chita - Zeya,Yakovlev YAK-40,CCCP-87346,9511539,34,29,5,3,1,2,0,"Flew into trees short and to the right of the runway, crashed and caught fire. Crew descended below minimums without visual contact with the ground.",52.5271321,128.104197, Russia
9/2/1981,,"Paipa, Colombia",Aereo el Venado,,Paipa - Cartagena,Embraer 110P1 Bandeirante,HK-2651,110206,22,19,3,21,18,3,0,The aircraft was unable to gain altitude upon taking off. After turning left the plane struck a hill. Overloaded.,5.83135355,-73.1074172943787, Colombia
9/18/1981,7:13,"Zeleznogorsk, Russian",Aeroflot /Military - Russian,V-652,Irkutsk - Zeleznogorsk,Yakovlev YAK-40 / Mil Mi-8,CCCP-87455,9431236,40,29,11,40,29,11,0,Midair collision with a military Mi-8 helicopter (CCCP-22268). Thirty-three killed aboard the Yak-40.,,,
9/21/1981,,"Nellis AFB, Nevada",Military - U.S. Air Force,USAF672,"Fort Lewis, WA - Indian springs, NV",Lockheed C-130H Hercules,74-1672,4623,70,61,9,7,7,0,0,Crashed short of the runway. The plane was carrying infantry troops.,36.2448129,-115.05680498438, United States of America
9/22/1981,12:00,"Near Babaeski, Turkey",Military - Turkish Air Force,,,Northrop F-5A,,,0,0,0,0,0,0,40,The fighter crashed into a village after the pilot ejected from the plane.,41.4385748,27.0728960040945, Turkey
9/29/1981,19:00,"Tehran, Iran",Military - Iranian Air Force,IIAF552,Ahwaz - Tehran,Lockheed C-130H,5-158-8552,4594,80,75,5,60,75,5,20,Crashed into Tir Square while on approach to land. Killed were Iran's Defense Minister and other military officals.,35.7006177,51.4013785, Iran
10/1/1981,15:00,"Casper, Wyoming",Sky Train Air,,"Casper, WY - McAllen, TX",Learjet 24,N44CJ,24-146,3,1,2,3,1,2,0,"A loss of control, possibly initiated by an unexpected encounter with moderate to severe clear air turbulence, which caused the aircraft to depart the narrow flight envelope boundaries in which it was operating and from which recovery was not effected.",42.866632,-106.313081, United States of America
10/6/1981,17:12,"Moerdijk, Netherlands",NLM (Nederlandse Luchtvaart Maatschappij),HN431,Rotterdam - Eindhoven - Hamburgh,Fokker F-28 Fellowship 4000,PH-CHI,11141,17,13,4,17,13,4,0,The aircraft entered an area of severe turbulence and a tornado which resulted in the separation of the right wing and in-flight break up.,51.703314,4.6258899, The Netherlands
10/15/1981,,"Kufstein, Austria",Oefag Flugdienst,,Salzbourg-Olbia,Cessna 404 Titan,OE-FCT,404-0680,9,NULL,NULL,9,NULL,NULL,0,Crashed into a mountain.,47.5833565,12.2081680341134, Austria
10/26/1981,18:24,"St. Thomas, U.S. Virgin Islands",Aerolineas Argo,,Saint Croix - Saint Thomas,Lockheed L-749A Constellation,HI-328,2607,5,2,3,5,2,3,0,After executing a turn to avoid traffic the cargo plane struck the ocean. Pilot misjudged the altitude and clearance.,18.34290815,-64.9188997006027, United States
10/31/1981,,"Bafoussam, Cameroon",Cameroon Airlines,,,de Havilland Canada DHC-6 Twin Otter 300,TJ-CBC,416,24,22,2,1,1,0,0,"The aircraft took off, lost altitude, settled back on the runway and overshot the runway. The aircraft was overloaded. Other factors were the pilot misjudged the distance and speed during the takeoff and lack of proper pre-flight planning.",5.4758083,10.4215565, Cameroon
11/8/1981,,"Sierra de Guerro, Mexico",Aeromexico,,Acapulco - Guadalajara,McDonnell Douglas DC-9-32,XA-DEO,47622/753,18,12,6,18,12,6,0,The flight struck a mountain during an emergency descent due to explosive decompression. Crew's failure to follow approved emergency procedures.,,,
11/16/1981,19:30,"Norilsk, Russia",Aeroflot,,Krasnoyarsk - Norilsk,Tupolev TU-154B-2,CCCP-85480,81A-480,167,160,7,99,95,4,0,The plane acquired excessive vertical speed and descended below the glideslope while attempting to land. The aircraft impacted terrain in an open field and slid across frozen ground for about 300 m. The high descent rate could not be countered by applying maximum elevator trim. Malfunctioning elevator.,69.3498394,88.200517, Russia
11/19/1981,,"Biratnagar, Nepal",Royal Nepal Airlines,,Biratnagar-Katmandou,Pilatus PC-6/B2-H2 Turbo-Porter,9N-ABJ,746,10,9,1,10,9,1,0,Crashed after takeoff.,26.4623007,87.281617, Nepal
11/30/1981,,"Castries, Saint Lucia Island",Guyana Airways,,Castries-Miami,Douglas DC-6A,N3486F,43683/305,3,0,3,3,0,3,0,Engine failed during takeoff. The cargo plane crashed while returning to the field.,14.0095966,-60.9902359, Saint Lucia
12/1/1981,8:53,"Mt. San Pietro, near Ajaccio, Corsica, France",Inex Adria Aviopromet (Yugoslavia),JP1308,Ljubljana - Ajaccio,McDonnell Douglas MD-81,YU-ANA,48047/998,180,173,7,180,173,7,0,The aircraft crashed into a mountain during an approach to Camp dell Oro Airport in heavy fog. The crew was not properly prepared for the approach. The minimum altitude and maximum speed limits of the holding pattern were probably not retained. Imprecise language used by the crew and air traffic controller.,,,
12/5/1981,19:08,"Honolulu, Hawaii",Private - Parajump air show,,"Haliive, HI  - Honolulu, HI",Beech C-45H,N8185H,AF-381,12,11,1,11,10,1,0,"Crashed into the water. Improperly loaded aircraft, weight and center of gravity.",21.304547,-157.8556764, United States of America
12/16/1981,,"Kuala Belait, Brunei",Bristow Helicopters,,,Aerospatiale Puma,9M-SSC,1481,12,NULL,NULL,12,NULL,NULL,0,Crashed into the sea.,4.5845101,114.1932373, Brunei
12/18/1981,13:06,"Near Covenas, Colombia",ACES Colombia,,Medellin-Monteria-Covenas,de Havilland Canada DHC-6 Twin Otter 300,HK-2217,609,13,11,2,13,11,2,0,Struck high ground.,9.41146205,-75.639789293312, Colombia
1/7/1982,,"Near Gelendzhik, USSR",Aeroflot,,Novorossiysk - Sukhumi,LET  410M Turbojet,CCCP-67290,781101,18,16,2,18,16,2,0,The aircraft crashed into high ground 22 km from the airport. Continued VFR flight into IFR condtions.,44.5596261,38.0795853, Russia
1/13/1982,16:01,"Washington, D.C.",Air Florida,90,"Washington D.C. - Fort Lauderdale, FL",Boeing B-737-222,N62AF,19556/130,79,74,5,74,70,4,4,"The aircraft crashed into the 14th St. bridge and the Potomac River and sank shortly after taking off from Washington National Airport. The aircraft reached a peak altitude of 300 ft. The flight crew's failure to use the engine anti-icing system during takeoff. Failure to de-ice the plane a second time before takeoff and taking off with snow/ice on the airfoil surfaces of the aircraft. Ice which accumulated on the engine pressure probes resulted in erroneously high Engine Pressure Ratio (EPR) readings. When the throttles were set to takeoff EPR, the engines were actually developing significantly less than takeoff thrust. The crew's inexperience in icing condtions was a contributing factor.",38.8948932,-77.0365529, United States of America
1/14/1982,,"Near Addis Ababa, Ethiopia",Military - Ethiopian Air Force,,,Antonov AN-26,71383,,73,67,6,73,67,6,0,Shot down by rebel forces.,9.0107934,38.7612525, Ethiopia
1/23/1982,19:36,"Logan Airport,  Boston, Massachusetts",World Airways,30H,Newark - Boston,McDonnell Douglas DC-10-30CF,N113WA,47821/320,212,200,12,2,2,0,0,"While landing on an icy runway, the aircraft touched down 2,800 feet beyond the displaced threshold and slid off the end of the runway into shallow water with the nose section detaching. The minimal braking effectiveness on the ice-covered runway. The crew landed without sufficient information as to runway conditions. Lack of FAA regulations. The pilot's decision to retain autothrottle speed control throughout the flare and the consequent extended touchdown point on the runway contributed to the severity of the accident.",42.3630236,-71.0134079867064, United States
1/25/1982,,"Constanta, Romania",Tarom,,Training,Antonov An-24RV,YR-BMD,57310202,7,0,7,7,0,7,0,A malfunction of the No. 1 engine feathering system caused the aircraft to lose control and crash.,44.1767161,28.6507598, Romania
2/3/1982,7:30,"Djibouti, Djbouti",Military - French Air Force,,Training,Nord 2501 Noratlas,140/88JA,140,35,30,5,35,30,5,0,Crashed into a mountain before a planned paratroop drop.,,,
2/6/1982,15:00,"Island of Cheju, South Korea",Military - Republic of South Korea Air Force,,Seoul - Jeju,Fairchild C-123,,,53,47,6,53,47,6,0,Crashed into Mt. Halla while on approach to land in poor weather. Possible microburst windshear.,,,
2/7/1982,,"Near Srinagar, India",Military - Indian Air Force,,Pathankot-Srinagar,Fairchild C-119G,,,23,18,5,23,18,5,0,Crashed in dirzzle and snow while en route.,34.0747444,74.8204443, India
2/9/1982,,"Mt. Ipao, Philippines",Trans Air Services,,Manila - Sicogon,Douglas DC-3 (C-47A-70-DL),RP-C141,19251,32,29,3,3,1,2,0,Struck Mt. Ipao on Panay Island.,,,
2/9/1982,8:47,"Tokyo, Japan",Japan Air Lines,350,Fukuoka - Tokyo,McDonnell Douglas DC-8-61,JA-8061,45889/291,174,166,8,24,24,0,0,"The aircraft flew into shallow water, 100 yards meters short of the runway, after a struggle between a mentally ill captain and the co-pilot and flight engineer. The plane hit approach-light stanchions extending above the bay waters after which the nose broke off. During the approach, the captain, known to have mental problems, put the inboard engines into reverse in an attempt to destroy the aircraft while the co-pilot and flight engineer battled to restrain him.",35.6828387,139.7594549, Japan
2/19/1982,,"Cerro el Tablazo, Colombia",LAC Columbia,,,Douglas DC-6BF,HK-1706,44168/431,4,0,4,4,0,4,0,The cargo plane crashed into high ground while on apporach to land.,10.690556,-72.880278, Colombia
2/21/1982,15:33,"Providence, Rhode Island",Pilgrim Airlines,458, New York City - Bridgeport - New Haven - Groton - Boston,de Havilland DHC -6-100,N127PM,105,12,10,2,1,1,0,0,The aircraft made an emergency landing near a reservoir after a fire erupted in the cockpit while the aircraft was en-route under IFR conditions. The fire spread to the cabin and destroyed the aircraft after impact.  The deficient design of the isopropyl alcohol windshield washer/deicer system and the inadequate maintenance of the system which resulted in an in-flight fire. The ignition source was not determined.,41.8239891,-71.4128343, United States of America
3/11/1982,13:26,"Mehamn, Norway",Wideroe's Flyveselksap,933,Berlevag - Mehamn,de Havilland Canada DHC-6 Twin Otter 300,LN-BNK,568,15,13,2,15,13,2,0,"The aircraft crashed while on a flight from Berlev̴g to Mehamn after the failure of the tail fin and rudder in moderate turbulence.  Overload due to a combination of clear air turbulence, mountain wave and the pilots spontaneous improper actions. There is some controversy surrounding this crash including the possiblity the aircraft was shot down by or collided with a British NATO Harrier jet fighter.",71.0349713,27.8517178, Norway
3/19/1982,21:10,"Near Woodstock, Illinois",Military - U.S. Air Force,,Sawyer-Chicago,Boeing KC-135C,58-0031,17776,27,23,4,27,23,4,0,"Crashed 40 miles northwest of Chicago O'Hare Airport where it was to have landed. Exploded and dove in an almost vertical attitude from a height of 13,700 ft. into a wooded area, exploded and burned. Most probably overpressurization under the cargo floor and ignition of fuel vapor.",42.3147529,-88.4474302, United States
3/19/1982,10:30,"Leesburg, Florida",Private,,None,Beechcraft Bonanza F35,N567LT,D-4114,3,2,1,3,2,1,0,"Randy Rhoads, 25, lead guitarist for heavy metal star Ozzy Osbourne was killed when the plane in which he was a passenger crashed into a tour bus and a house. The pilot was attempting to buzz Osbourne's tour bus when after several attempts, the left wing struck the side of the bus puncturing it in two places approximately half way down the right side.  The plane was thrown over the bus, hit a pine tree, severing it approximately 10 feet up from the bottom, before it crashed into the garage of a  house. The plane was an estimated 10-11 feet off the ground traveling at approximately 120 - 150 knots during final impact. Several other members of the group were inside the bus but were not hurt. The pilot,  Andrew Aycock's medical certificate (3rd class) had expired, making his pilots license invalid. All three aboard, Rhoads, Rachel Youngblood, the groups hairdresser and the pilot were killed. Poor judgement by the pilot in buzzing the bus and misjudging clearance of obstacles.",28.810823,-81.8778582, United States
3/20/1982,,"Branti Airport, Indonesia",Garuda Indonesia Airlines,,Bogota-Saravena,Fokker F-28 Fellowship 1000,PK-GVK,11078,27,23,4,27,23,4,0,"The plane overran the runway in heavy rain, crashed into a field and burned while attemping to land.",-5.2465849,105.181808304105, Indonesia
3/26/1982,,"Queate, Colombia",Aeropesca Colombia,,Villavicencio - Bogota,Vickers Viscount 745D,HK-2382,212,21,15,6,21,15,6,0,Crashed into a mountain during poor weather conditions.,,,
4/11/1982,17:35,"Near Tanana, Alaska",Air Taxi - Tundra Copters,,Banddanack - Fairbanks,Hughes 369D,N11058,210901D,3,2,1,3,2,1,0,The helicopter crashed on a snow covered mountain slope in a steep left bank in overcast and snow showers. Continued VFR flight into IFR conditons.,65.1719444,-152.0788889, United States
4/13/1982,14:40,"Near Erzurum, Turkey",Military - U.S. Air Force,,Erzurum - Incirlik,Lockheed C-130H,74-1678,4645,27,19,8,27,19,8,0,Failure of the No.4 engine followed by separation of the engine and propeller of the No.3 engine.  Overpressurization of the right wing resulting in an explosion and in-flight fire. A Mayday was received from the aircraft before it fell and crashed into mountainous terrain and burst into flames. Attachment bolts to support the No. 4 engine had not been installed.,39.9063215,41.2727638, Turkey
4/26/1982,16:45,"Near Yangshuo, Guangxi, China",CAAC,3303,Guangzhou - Guilin,Hawker Siddeley Trident 2E,B-266,2170,112,104,8,112,104,8,0,The aircraft struck a mountain in heavy rain during a landing attempt.,24.7770003,110.486285, China
4/30/1982,,Gulf of Thailand,Okanagan Helicopters,,,Sikorsky S-76,C-GIMF,760038,13,NULL,NULL,13,NULL,NULL,0,The helicopter crashed under unknown circumstances.,9.86591615,102.066562018539,Gulf of Thailand
5/9/1982,,"Off Aden, Yemen",Alyemda,,Mukalla - Aden,de Havilland Canada DHC-7-103,7O-ACK,15,49,45,4,47,45,2,0,Crashed into the ocean during an approach 2 km short of the runway.,14.633333,44.216667, Yemen
5/12/1982,,"Judsonia, Arkansas",Military - U.S. Air Force,,Training,Lockheed C-130E Hercules,64-0543,4033,7,0,7,7,0,7,0,Lost a wing and crashed.,35.270085,-91.6398575, United States
5/19/1982,19:15,South Atlantic Ocean,Military - Royal British Navy,,,Westland Sea King HC-4 (helicopter),ZA-294,,30,NULL,NULL,21,NULL,NULL,0,"The helicopter, carrying troops from one ship to another during the Falkland Islands war, crashed into the Atlantic Ocean. Possible bird strike or component failure.",-45.0,-15.0,South Atlantic Ocean
5/25/1982,,"Brazilia, Brazil",VASP,,Sao Paulo - Brasilia,Boeing B-737-200,PP-SMY,20907,118,112,6,2,2,0,0,The aircraft broke in two after a hard landing. The pilot's misuse of rain repellant caused an optical illusion.,-10.3333333,-53.2,Brazil
5/28/1982,,"Off Natuma Island, Indonesia",Pelita Air Service,,,Aerospatiale 330G Puma,PK-PDU,1258,10,NULL,NULL,10,NULL,NULL,0,The helicopter crashed into the sea.,,,
6/1/1982,14:40,"Near Songnam-si, South Korea",Military - Republic of South Korea Air Force,,Training,Fairchild C-123,56-4391,,53,49,4,53,49,4,0,Crashed in poor weather conditions after taking off with paratroopers.,37.4201556,127.1262092, South Korea
6/8/1982,2:25,"Near Pacatuba, Brazil",VASP,168,Rio de Janerio - Fortaleza,Boeing B-727-212A,PP-SRK,21347/1282,137,128,9,137,128,9,0,"The aircraft crashed into a 2,500 ft. mountain (Serra da Aratanha) during an approach in heavy rain and fog. Despite two altitude alert system warnings and the co-pilot's warning of the mountains ahead, the captain continued to descend below the minimum descend altitude. Non-observance of air traffic and carrier's procedures.",-3.9841,-38.6180383, Brazil
6/12/1982,,"Tabatinga, Brazil",TABA,,Eirunepe - Tabatinga,Fairchild-Hiller FH-227B-LCD,PT-LBV,536,44,40,4,44,40,4,0,The plane crashed into the tower during an approach in adverse weather conditions.,-4.2327349,-69.9263372, Brazil
6/22/1982,4:34,"Bombay, India",Air India,,Kuala Lumpur - Mumbai,Boeing B-707-437,VT-DJJ,17723/100,111,99,12,17,15,2,0,"The crew initiated a go-around after a heavy landing and a subsequently bounced lifted off the runway but descended back onto the ground and broke up. Deliberate reduction of engine power by the pilot 12 seconds prior to first impact due to altitude unawareness resulting in a high rate of descent and very hard landing. The aircraft was named ""Gaurishankar.""",18.9387711,72.8353355, India
6/24/1982,20:44,"Mount Galunggung, Indonesia",British Airways,9,Kuala Lampur - Perth,Boeing B-747,G-BDXH,21635/365,257,247,10,0,0,0,0,"The aircraft flew into a plume from a volcanic eruption at 37,000 feet during the night. All engines failed and the windshield lost transparency because of pitting. The first engine was restarted at 12,000 feet, followed by the other three and the plane landed safely at Jakarta. The aircraft was named ""City of Edinburgh.""",-7.2561523,108.0760925, Indonesia
6/28/1982,10:49,"Southern Belarus, USSR",Aeroflot,8641,Leningrad - Kiev,Yakovlev YAK-42,CCCP-42529,8040104,132,124,8,132,124,8,0,"From an altitude of 30,000 ft., a malfunction occurred causing the aircraft to crash 125 miles from its destination. In-flight failure and jamming of stabilizer screw-jack mechanism due to wear.",,,
7/3/1982,,"Oganda, Gabon",Air Affaires Gabon,,Boou̩-Ndjol̩-Libreville,Cessna 404 Titan,TR-LYQ,404--425,12,NULL,NULL,12,NULL,NULL,0,,,,
7/6/1982,0:35,"Near Moscow, Russia",Aeroflot,411,	Moscow - 	Dakar,Ilyushin IL-62M,CCCP-86513,4037536,90,80,10,90,80,10,0,The aircraft crashed and burned in field shortly after takeoff. Failure of the aircraft's power plant fire warning system due to design deficiencies which resulted in false fire indications in both engines.,55.7504461,37.6174943, Russia
7/9/1982,16:09,"Kenner, Louisiana",Pan American World Airways,759,New Orleans - Las Vegas,Boeing B-727-235,N4737,19457/518,145,138,7,145,138,7,8,"The aircraft crashed during a thunderstorm, 29 seconds after taking off from New Orleans International Airport. The plane reached an altitude of 95 to 150 feet and then began to descend and crashed into trees and houses bursting into flames. Microbust induced windshear. Limited capability of current ground-based low-level windshear detection technology. The aircraft was named ""Clipper Defiance.""",29.9942265,-90.2417806, United States
